FIRE_YEAR,IGNITN_DT,LATITUDE,LONGITUDE,CURRENT_SZ
2025,2025-04-28,54.3943,-126.0282,0.009
2025,2025-09-25,49.7716,-114.8868,0.3
2025,2025-09-17,53.1702,-122.4903,0.2
2025,2025-07-16,49.9335,-124.6856,0.6
2025,2025-05-13,55.2236,-127.4373,0.1
2025,2025-08-02,52.38,-126.0905,0.009
2025,2025-08-20,49.6199,-117.0541,0.3
2025,2025-07-08,54.1057,-125.3545,0.009
2025,2025-08-30,50.9361,-118.431,0.009
2025,2025-08-25,50.2444,-121.0925,0.1
2025,2025-07-06,49.2929,-124.2307,0.09
2025,2025-08-01,51.5524,-121.1897,0.009
2025,2025-10-14,52.2966,-121.5313,1.59
2025,2025-08-30,49.603,-124.9867,0.009
2025,2025-07-29,56.287,-120.781,0.009
2025,2025-06-15,49.0816,-123.8966,0.05
2025,2025-04-27,49.8342,-123.1179,4.36
2025,2025-06-26,50.6658,-120.3312,3.07
2025,2025-06-07,49.2057,-125.1871,19.8
2025,2025-07-28,50.1477,-121.5797,1472.0
2025,2025-07-11,49.8151,-119.7586,0.009
2025,2025-09-29,58.6261,-123.7017,0.009
2025,2025-08-02,52.6353,-125.5443,9.2
2025,2025-07-16,50.229,-122.9562,0.1
2025,2025-09-21,52.153,-121.9107,0.009
2025,2025-09-17,49.3381,-124.9172,0.009
2025,2025-09-13,48.8411,-123.4558,0.009
2025,2025-10-01,50.1711,-120.6708,0.009
2025,2025-07-13,48.4654,-124.1511,0.44
2025,2025-08-03,54.8379,-127.1568,0.76
2025,2025-06-14,50.7627,-120.6081,2.23
2025,2025-07-30,57.8666,-131.2832,0.1
2025,2025-08-22,54.6967,-127.0554,0.009
2025,2025-04-16,54.8417,-128.3417,0.009
2025,2025-07-14,49.7555,-124.5659,0.01
2025,2025-06-16,50.0647,-123.3382,0.009
2025,2025-10-15,50.2884,-125.5706,0.009
2025,2025-10-10,52.4545,-125.6096,0.015
2025,2025-04-21,48.5451,-123.5785,0.009
2025,2025-09-11,52.0554,-121.9032,0.009
2025,2025-08-02,51.2226,-121.4756,0.009
2025,2025-07-30,53.0514,-131.752,0.05
2025,2025-04-19,48.4042,-123.7271,0.33
2025,2025-04-03,55.0164,-127.3164,0.6
2025,2025-05-14,55.3788,-127.6649,5.8
2025,2025-07-03,49.7571,-124.6125,0.009
2025,2025-04-27,54.0026,-125.7143,0.04
2025,2025-04-11,56.3088,-120.7694,0.2
2025,2025-04-23,53.0867,-124.4939,3.3
2025,2025-04-24,53.9708,-125.7873,1.15
2025,2025-05-07,56.4347,-121.1603,3.2
2025,2025-03-31,54.9301,-128.8848,0.009
2025,2025-02-07,56.3757,-121.3215,0.009
2025,2026-03-22,49.038,-118.4922,3.83
2025,2025-04-27,55.7892,-121.0221,109.0
2025,2025-08-03,52.4067,-122.3164,0.02
2025,2025-04-27,50.6761,-121.807,0.3
2025,2025-04-25,54.8877,-128.396,5.0
2025,2025-09-23,49.518,-123.7619,0.8
2025,2026-03-10,50.1373,-120.8707,10.9
2025,2025-06-25,53.9053,-128.8511,0.009
2025,2025-04-11,55.7893,-120.2196,0.5
2025,2025-08-30,55.5785,-122.378,0.009
2025,2025-04-03,52.6806,-122.4498,1.15
2025,2025-05-02,51.9397,-122.5067,0.3
2025,2025-08-04,57.839,-131.3878,0.001
2025,2026-03-24,50.503,-121.269,0.4
2025,2025-05-03,52.988,-123.8414,0.009
2025,2025-07-24,53.1113,-125.1012,0.98
2025,2025-06-06,57.8556,-123.0307,0.038
2025,2025-04-24,53.0318,-124.7699,9.5
2025,2026-03-23,50.0321,-120.8619,0.75
2025,2025-04-21,51.3993,-124.0642,3.0
2025,2025-05-27,56.4944,-122.1153,5.0
2025,2025-06-06,49.2563,-119.7014,0.5
2025,2025-05-09,56.151,-121.7262,0.5
2025,2025-09-12,48.8374,-124.1128,0.1
2025,2025-04-22,50.0346,-120.8455,0.009
2025,2025-07-26,49.4693,-123.5033,0.01
2025,2025-07-21,49.6429,-125.1147,5.6
2025,2025-05-24,48.8426,-123.756,0.009
2025,2025-10-17,49.9246,-119.5207,0.1
2025,2025-09-05,50.7391,-120.0017,0.009
2025,2025-08-13,49.873,-119.6413,0.15
2025,2025-08-13,49.8731,-119.6411,0.1
2025,2025-08-22,52.0911,-122.1439,0.009
2025,2025-08-19,52.3813,-125.1852,0.9
2025,2025-05-08,49.654,-116.9481,2.3
2025,2025-07-17,49.0758,-119.5038,2.4
2025,2025-10-20,53.7808,-124.2868,1.75
2025,2025-10-20,53.7587,-124.2946,0.3
2025,2025-06-27,49.7934,-124.6238,0.009
2025,2025-04-11,49.1999,-118.9937,0.009
2025,2025-04-18,49.6508,-123.9648,2.75
2025,2025-07-02,50.181,-119.5074,1.75
2025,2025-04-07,55.8885,-120.8736,1.7
2025,2025-09-06,50.4187,-115.8637,0.009
2025,2025-08-15,49.9011,-120.9039,0.009
2025,2025-08-20,49.9581,-120.9119,0.71
2025,2025-08-15,49.9043,-120.9043,0.009
2025,2025-09-06,50.2061,-125.5365,0.18
2025,2025-08-10,49.7874,-120.6458,0.7
2025,2025-08-29,49.485,-121.2503,0.1
2025,2025-09-10,48.6293,-123.8002,0.009
2025,2025-06-17,51.4857,-117.1883,0.009
2025,2025-07-18,49.0808,-121.9803,0.009
2025,2025-12-02,52.4751,-119.1354,0.01
2025,2025-05-26,50.5076,-121.2867,0.2
2025,2025-06-12,49.0944,-119.7127,0.3
2025,2025-08-17,50.757,-120.8889,0.009
2025,2025-06-02,49.162,-115.2825,0.025
2025,2025-05-23,49.4716,-124.8039,0.009
2025,2025-07-30,54.8694,-128.3714,0.009
2025,2025-08-14,49.0485,-119.0414,0.6
2025,2025-08-17,50.7985,-121.1075,1.0
2025,2025-04-17,50.1468,-117.5995,0.009
2025,2025-06-29,49.5922,-123.9854,0.03
2025,2025-08-27,49.9573,-120.9125,0.1
2025,2025-09-17,52.3295,-122.2569,0.4
2025,2025-06-08,49.8405,-120.6194,0.3
2025,2025-08-24,49.4867,-124.8197,0.009
2025,2025-12-21,50.5537,-119.3397,0.009
2025,2025-06-29,50.2317,-120.4707,1.0
2025,2025-08-21,49.8402,-119.3299,0.02
2025,2025-07-24,49.8769,-124.4929,0.03
2025,2025-08-11,49.0624,-119.5353,10.1
2025,2025-01-01,50.6415,-126.9356,0.009
2025,2025-07-24,49.5963,-119.5595,0.16
2025,2025-07-27,50.1245,-125.3932,0.009
2025,2025-09-06,49.01,-121.7801,0.009
2025,2025-10-13,49.5397,-121.9109,0.09
2025,2025-04-29,49.1567,-119.53,0.009
2025,2025-07-30,50.0955,-121.562,0.009
2025,2025-05-08,53.9403,-123.9501,0.4
2025,2025-09-16,54.0898,-122.9864,0.2
2025,2025-06-02,50.6198,-121.8482,0.6
2025,2025-05-07,54.081,-124.1709,0.5
2025,2025-04-21,50.1211,-124.8423,0.13
2025,2025-04-08,50.8128,-121.5736,4.93
2025,2025-06-16,50.2076,-119.2689,0.009
2025,2025-09-07,49.3027,-124.3033,0.009
2025,2025-09-20,50.5217,-115.9955,0.009
2025,2025-04-25,49.5871,-115.6762,0.009
2025,2025-07-06,50.6687,-120.2995,0.23
2025,2025-06-27,50.6781,-120.35,0.1
2025,2025-09-10,49.8998,-119.4171,0.009
2025,2025-07-24,49.0158,-118.502,0.3
2025,2025-06-09,49.5478,-115.7382,0.1
2025,2025-08-31,48.4411,-124.1011,0.009
2025,2025-07-16,49.3255,-117.6791,0.009
2025,2025-08-17,49.3351,-117.6811,0.03
2025,2025-07-28,52.1317,-122.0978,0.009
2025,2025-07-12,49.249,-124.6714,0.001
2025,2025-05-02,52.7298,-119.2407,0.04
2025,2025-10-17,53.4372,-122.5658,0.009
2025,2025-07-29,49.4568,-121.7644,224.0
2025,2025-09-26,50.5131,-116.0552,0.01
2025,2025-05-24,50.6685,-120.3804,0.65
2025,2025-07-08,49.092,-122.2061,0.1
2025,2025-04-05,51.9507,-122.5012,0.1
2025,2025-10-09,52.4582,-125.5786,0.04
2025,2025-04-11,51.945,-123.1279,0.009
2025,2025-04-11,51.9148,-123.0854,0.1
2025,2025-10-10,52.4514,-125.6146,0.2
2025,2025-10-10,52.4548,-125.6106,0.04
2025,2025-05-04,50.0742,-120.7438,0.009
2025,2025-08-23,55.7095,-121.3141,0.009
2025,2025-09-26,50.4514,-116.0152,0.1
2025,2025-05-02,52.0856,-123.1503,556.75
2025,2025-04-28,52.4595,-125.3017,0.009
2025,2025-08-06,55.0556,-125.4992,0.009
2025,2025-09-29,50.4824,-115.9383,0.009
2025,2025-07-18,49.7014,-121.4041,2.5
2025,2025-08-29,52.0114,-123.1737,0.3
2025,2025-05-02,52.121,-123.234,30.7
2025,2025-05-02,52.1051,-123.2484,8.71
2025,2025-09-09,53.9644,-122.9601,0.07
2025,2025-04-02,51.9582,-123.1409,0.921
2025,2025-06-09,50.36,-118.0301,0.3
2025,2025-06-08,56.6446,-121.8301,5.21
2025,2025-07-12,54.0468,-124.941,0.009
2025,2025-06-04,55.7145,-121.3751,60.0
2025,2025-06-02,55.7529,-121.29,0.3
2025,2025-04-05,51.9679,-123.1476,0.3
2025,2025-10-15,56.7589,-122.016,0.009
2025,2025-09-27,49.1419,-119.2131,0.3
2025,2025-09-21,56.1765,-120.8173,0.78
2025,2025-11-23,49.679,-124.4657,0.009
2025,2025-09-23,53.5176,-125.7511,0.009
2025,2025-09-21,56.558,-121.7702,0.36
2025,2025-08-02,50.1371,-120.5019,0.59
2025,2025-08-23,49.6188,-121.3959,111.0
2025,2025-08-19,50.2387,-121.5803,0.009
2025,2025-06-10,54.0155,-124.0427,0.88
2025,2025-05-09,50.4786,-121.3026,0.86
2025,2025-09-17,52.882,-119.3021,0.009
2025,2025-08-19,50.3964,-121.3865,0.3
2025,2025-06-04,50.7139,-120.5714,0.53
2025,2025-04-23,50.3991,-115.927,0.01
2025,2025-05-09,49.9259,-120.2975,0.009
2025,2025-05-02,50.9741,-118.6063,0.009
2025,2025-10-01,49.9765,-118.0811,0.01
2025,2025-09-19,49.4755,-115.7606,0.009
