YEAR,MONTH,DAY,LATITUDE,LONGITUDE,SIZE_HA,CAUSE
2023,5,25,49.3529,-123.3395,0.009,H
2023,1,1,56.0829,-120.708,3.4,H
2023,4,20,53.5533,-122.6301,16.5,H
2023,9,24,49.2575,-124.8848,0.009,H
2023,4,30,55.6734,-120.1005,1.0,H
2023,9,27,52.8628,-119.3584,0.009,H
2023,9,15,52.4251,-122.6048,0.19,H
2023,5,11,48.6091,-124.4301,0.7,H
2023,7,22,49.0806,-124.0714,0.009,H
2023,9,17,49.0882,-124.3767,0.009,H
2023,6,1,52.3877,-126.5905,0.009,H
2023,6,22,48.6715,-123.6606,0.009,H
2023,5,27,50.1971,-119.1741,0.009,H
2023,5,9,49.6196,-124.4054,0.05,H
2023,6,12,49.5226,-119.626,0.009,H
2023,7,4,49.6938,-122.9149,21.0,H
2023,6,4,49.3533,-122.022,78.0,H
2023,7,4,49.3115,-122.2438,215.0,H
2023,6,3,49.4837,-121.9887,767.2,H
2023,6,12,55.2482,-127.7183,0.74,H
2023,5,16,50.4953,-115.9053,0.009,H
2023,9,20,55.9529,-120.336,0.13,H
2023,5,12,49.8341,-119.7925,0.009,H
2023,8,21,56.6988,-120.9733,0.009,H
2023,5,6,55.7926,-121.952,1.69,H
2023,7,2,48.4109,-123.8586,0.25,H
2023,5,5,53.8776,-122.6402,0.2,H
2023,5,13,56.516,-122.2482,0.76,H
2023,9,13,55.6428,-122.1332,0.009,H
2023,9,15,56.5249,-121.7892,0.009,H
2023,8,17,50.1745,-125.1854,1.9,H
2023,9,11,50.1758,-125.1899,0.009,N
2023,9,13,55.7051,-120.3464,0.5,H
2023,6,8,54.8778,-127.1665,0.5,H
2023,7,17,50.0459,-119.5007,4.08,H
2023,7,1,55.6912,-121.6146,0.15,H
2023,9,1,56.7325,-121.1392,0.009,H
2023,8,12,52.3787,-126.6321,0.009,H
2023,4,26,51.9843,-122.6356,60.0,H
2023,5,30,51.4604,-117.0943,0.009,H
2023,4,25,54.4309,-126.7604,0.2,H
2023,8,16,49.2761,-124.7333,0.1,H
2023,8,23,55.7096,-121.3035,0.009,H
2023,6,14,52.4422,-126.3352,0.09,H
2023,5,4,52.999,-119.3033,0.009,H
2023,8,17,52.3988,-126.468,0.009,N
2023,5,5,53.7854,-122.7162,0.25,H
